date,date_raw,author,rating,title,text,product_slug,product_url,image_url
2026-07-09,9. Juli 2026,Steph,1.0,Enttàuschend,"Sehr schwergängig, deshalb leider keine Spur vom beworbenen ""stundenlangen, fesselnden Spass"": Nach wenigen Augenblicken legt man den Orb frustriert zur Seite, das erhoffte ""Gehirnkitzeln"" bleibt komplett aus.
""Leicht und angenehm in der Hand"" - meiner Meinung nach ZU leicht, das Plastik ist sehr warm und daher für mich nicht angenehm. Die Idee und Struktur sind gut - tatsächlich hätte ich gern eine leichtgängige, schwerere und angenehm kühle Metallversion, für die wahrscheinlich nicht nur ich gern mehr bezahlen würde.",orb-fidget-gear-ball-der-verwandlungskuenstler,https://www.jugglux.ch/kurioses-und-kultiges/kleinigkeiten-und-verspieltes/beruehren-und-fuehlen/orb-fidget-gear-ball-der-verwandlungskuenstler.html,https://www.jugglux.ch/media/image/cd/01/05/Orb-Fidget-Der-Verwandlungsk-nstler-4260612176807_600x600.jpg
2026-07-07,7. Juli 2026,Sarina,5.0,super preiswert,,set-mit-100-spielfiguren-in-4-farben,https://www.jugglux.ch/spiele-und-geschenke/spielmaterial/spielfiguren-halmakegel/set-mit-100-spielfiguren-in-4-farben.html,https://www.jugglux.ch/media/image/95/a4/8d/satz-aus-100-spielfiguren-in-4-farben_600x600.jpg
2026-07-07,7. Juli 2026,Sarina,5.0,klein & handlich,,wuerfel-8mm-preis-pro-stk-zufaellige-farbe,https://www.jugglux.ch/spiele-und-geschenke/wuerfel-fuer-spiele/wuerfel-mit-6-flaechen/wuerfel-8mm-preis-pro-stk-zufaellige-farbe.html,https://www.jugglux.ch/media/image/0f/f8/6d/W-rfel-8mm-Preis-pro-Stk_600x600.jpg
2026-07-05,5. Juli 2026,Maja,5.0,Kusspüppchen,"Schnell eingetroffen und genau wie auf dem Bild. Danke, bin sehr zufrieden.",kusspuppen-blau-weiss,https://www.jugglux.ch/experimente-und-magie/physikspiele-und-co/magnetische-spiele/kusspuppen-blau-weiss.html,https://www.jugglux.ch/media/image/ac/ef/dc/kusspuppen-blau-weiss-232067-41797_600x600.jpg
2026-07-03,3. Juli 2026,Andrea,5.0,qualitativ hochwertige Verarbeitung & einfache Montage,"Die Verankerungsplatte ist leicht zu montieren, äusserst stabil und hochwertig verarbeitet. Dank dem Silikonschutz, ist der Karabiner geschützt und es entstehen weder Reibung noch unangenehme Geräusche. Ich habe mehrere Verankerungsplatten getestet - Diese ist mein Favorit. Sie ist durchdacht und elegant gestaltet.",verankerungsplatte-in-weiss-fuer-holzdecken,https://www.jugglux.ch/jonglieren-und-artistik/artistik-medien-und-zirkusartikel/trapez/verankerungsplatte-in-weiss-fuer-holzdecken.html,https://www.jugglux.ch/media/image/ab/6d/c6/verankerungsplatte-in-weiss-fur-holzdecken-258967-46475_600x600.jpg
2026-07-02,2. Juli 2026,Bri,5.0,Super Spiel zum Mitnehmen und auf viele verschiedenen Arten spielen,"Das Spiel macht bei uns allen Spass. Outdoor wie indoor gut zu gebrauchen, sehr schön verarbeitet.",maya-flya-yippiyappa-wurfspiel-mit-hackysack,https://www.jugglux.ch/outdoor-und-freizeit/outdoor-und-gartenspiele/crossboccia-und-crossboule/maya-flya-yippiyappa-wurfspiel-mit-hackysack.html,https://www.jugglux.ch/media/image/06/db/e6/Maya-Flya-YippiYappa-Wurfspiel-mit-Hackysack_600x600.jpg
2026-07-01,1. Juli 2026,Doris Schmutz Halbeisen,5.0,Sehr rasche Zustellung! Flexible unkomplizierte zu Änderung der Zustelladresse,top,flutschie-glitzer-wasserschlange,https://www.jugglux.ch/kurioses-und-kultiges/kleinigkeiten-und-verspieltes/flutschie-schleimi-und-klebriges/flutschie-glitzer-wasserschlange.html,https://www.jugglux.ch/media/image/00/40/f6/Flutschie-Glitzer-Wasserschlange-5021813200413_600x600.jpg
2026-07-01,1. Juli 2026,Noirjean,5.0,Pierre carambole,Bonne qualité et livraison rapide dR8SG,original-carambole-steine-standard-aus-kunststoff,https://www.jugglux.ch/spiele-und-geschenke/gesellschaftsspiele/carambole-brett-und-zubehoer/original-carambole-steine-standard-aus-kunststoff.html,https://www.jugglux.ch/media/image/44/c0/36/original-carambole-steine-standard-aus-kunststoff-222767-37453_600x600.jpg
2026-06-30,30. Juni 2026,Elisabeth,5.0,Läuft!,"Der Einbau war super einfach. Das Material der Schlaufen ist sehr angenehm. Das beste aber sind die Wirbel, sie sind sehr leichtgängig und Orbitals gehen damit wunderbar. Klare Empfehlung.",flowleash-plus-fuer-podpois-paar,https://www.jugglux.ch/jonglieren-und-artistik/poi-leuchtpoi-levistick-und-zubehoer/zubehoer-fuer-poi/flowleash-plus-fuer-podpois-paar.html,https://www.jugglux.ch/media/image/ca/b8/3d/poi-flow-leash-plus-pair-smithy-floop-handle-set_flowtoys_no-washer_600x600.jpg
2026-06-30,30. Juni 2026,Elisabeth,5.0,Sehr angenehm!,"Ich finde diese Schlaufen super und nutze sie für fast alle meine Pois. Das Material ist weich und sehr angenehm, auch nach langem spielen reibt nichts. Sie sind ein kleines bisschen dehnbar, insgesamt aber fest und halten gut was aus.",flowleash-handles-paar,https://www.jugglux.ch/jonglieren-und-artistik/poi-leuchtpoi-levistick-und-zubehoer/zubehoer-fuer-poi/flowleash-handles-paar.html,https://www.jugglux.ch/media/image/b8/db/3e/flowleash-handles-paar-235640-45042_600x600.png
2026-06-27,27. Juni 2026,,4.5,Grosse Begeisterung!,"Mein 9-Jähriger ist sehr begeistert und konnte bereits einen Grossteil des Bausatzes selbständig zusammensetzen und die Mechanismen nachvollziehen. Nur einmal ist etwas abgebrochen, das wieder geleimt werden konnte. Ich würde es wieder kaufen.",ugears-holzbausatz-harry-potter-quidditch-pinball,https://www.jugglux.ch/experimente-und-magie/mechanische-holzbausaetze/ugears-mechanische-holzmodelle/ugears-holzbausatz-harry-potter-quidditch-pinball.html,https://www.jugglux.ch/media/image/b1/01/55/Ugears-Holzbausatz-Harry-Potter-Quidditch-Pinball-4820184121980_600x600.jpg
2026-06-24,24. Juni 2026,Heiko,5.0,tip top,,hybrid-ball-sil-x-75mm-weiss-150g,https://www.jugglux.ch/jonglieren-und-artistik/baelle-zum-jonglieren/jonglierbaelle-aus-kunststoff/hybrid-baelle/hybrid-ball-sil-x-75mm-weiss-150g.html,https://www.jugglux.ch/media/image/ac/b5/6c/hybrid-ball-sil-x-75mm-weiss-252166-46140_600x600.jpg
2026-06-21,21. Juni 2026,Janine,5.0,Witziges Versteck,"Kleines Gadget um einen Gutschein originell zu verstecken. Das Rätsel ist nicht so schwierig, wie die Beschreibung den Anschein machte!",trickkiste-iq-test-bambus-safe-2,https://www.jugglux.ch/spiele-und-geschenke/knobel-und-geduldspiele/geduldspiele-aus-holz/trickkiste-iq-test-bambus-safe-2.html,https://www.jugglux.ch/media/image/47/4e/7e/iq-test-bambus-safe-2-228092-43968_600x600.jpg
2026-06-21,21. Juni 2026,giuli,5.0,stressreduzierend,"Für mich als erwachsene Autistin ist der Tangle ideal, um während der Arbeit oder im öffentlichen Raum meinen Stresspegel zu reduzieren.",tangle-braintools-imagine,https://www.jugglux.ch/outdoor-und-freizeit/fidget-toys/tangle-fidget-toy/tangle-braintools-imagine.html,https://www.jugglux.ch/media/image/15/69/ea/Tangle-mit-weicher-Gummi-Oberfl-che-und-Noppen-723459134064_600x600.jpg
2026-06-19,19. Juni 2026,ShuGuang,5.0,Sauberkugel,Ich habe immer sehr viele Brösmeli und kleinen Dreck in meiner Tasche - diese Kugel funktioniert echt nicht schlecht und lässt sich auch prima putzen.,sauberkugel-petrol,https://www.jugglux.ch/kurioses-und-kultiges/kleinigkeiten-und-verspieltes/gag-baelle-und-spezial-baelle/sauberkugel-petrol.html,https://www.jugglux.ch/media/image/77/27/37/sauberkugel-petrol-244401-45825_600x600.jpg
2026-06-17,17. Juni 2026,Simon,5.0,Tiptop!,Schneller Versand und sehr gute Qualität – Bin sehr zufrieden!,contact-poi-pro-rot,https://www.jugglux.ch/jonglieren-und-artistik/poi-leuchtpoi-levistick-und-zubehoer/contact-poi-und-flags/contact-poi-pro-rot.html,https://www.jugglux.ch/media/image/32/d5/b2/Contact-Poi-Pro-rot_600x600.jpg
2026-06-16,16. Juni 2026,Josephine,5.0,"Guter Squishy aber schlecht verpackt, darum schnell kaputt.","Der Squishy ist der Hammer! Meine Schüler und Schülerinnen lieben ihn.
Nur leider wird er mit einem Schild geliefert, das durch den oberen Teil der Erdbeere getackert ist. Dadurch entstehen Löcher und der erste ist nach 2h kaputt gewesen und ein zweiter verliert auch schon Füllung.
Schade...",squeezy-erdbeere,https://www.jugglux.ch/kurioses-und-kultiges/kleinigkeiten-und-verspieltes/gag-baelle-und-spezial-baelle/squeezy-erdbeere.html,https://www.jugglux.ch/media/image/fd/c9/a1/squeezy-erdbeere-292673-48261_600x600.jpg
2026-06-16,16. Juni 2026,-,5.0,sehr toll,,trumpf-quartett-staedte-metropolen-der-welt,https://www.jugglux.ch/spiele-und-geschenke/kartenspiele/quartett/trumpf-quartett-staedte-metropolen-der-welt.html,https://www.jugglux.ch/media/image/a9/13/51/Trumpf-Quartett-St-dte-Metropolen-der-Welt-0714118691660_600x600.jpg
2026-06-16,16. Juni 2026,-,5.0,sehr toll,,trumpf-quartett-ferne-laender,https://www.jugglux.ch/spiele-und-geschenke/kartenspiele/quartett/trumpf-quartett-ferne-laender.html,https://www.jugglux.ch/media/image/7f/97/fc/Ferne-L-nder-Quartett-0746760270818_600x600.jpg
2026-06-15,15. Juni 2026,Heinz,5.0,"Abwechslungsreiches, nicht kompliziertes Spiel",Sehr wertige Ausführung,chromino-refresh,https://www.jugglux.ch/spiele-und-geschenke/brettspiele/familienspiele/chromino-refresh.html,https://www.jugglux.ch/media/image/a8/72/7b/3558380108092_600x600.jpg
2026-06-13,13. Juni 2026,Andrea,5.0,Sehr flexibel und schnell aufgebaut,"Egal ob Wohnzimmer, Garten oder Balkon- wir haben ihn schon überall hingestellt. Nimmt nicht viel Platz weg, ist stabil und schnell zusammen und auseinandergesetzt bzw. teilweise gesteckt.",fiji-gestell-fuer-haengesessel,https://www.jugglux.ch/outdoor-und-freizeit/haengematten/gestelle-und-befestigungen/fiji-gestell-fuer-haengesessel.html,https://www.jugglux.ch/media/image/26/f0/c3/Stahl-Gestell-f-r-H-ngesessel-Fiji-4025122956871_600x600.jpg
2026-06-13,13. Juni 2026,Andrea,5.0,Super Kauf!,Wir lieben den Hängesessel und der Sohn möchte kein anderen mehr. Super zum Entspannen!,haengesessel-cumbia-organic-agave-comfort-size,https://www.jugglux.ch/outdoor-und-freizeit/haengematten/haengestuehle/haengesessel-cumbia-organic-agave-comfort-size.html,https://www.jugglux.ch/media/image/cd/91/bb/H-ngesessel-Cumbia-Organic-Agave-Comfort-Size-4025122954181_600x600.jpg
2026-06-12,12. Juni 2026,Dani,5.0,Kräftiges UV-Licht,"Sehr helle LED's, robustes Gehäuse und Batteriebetrieb. Preis Leistung stimmt, immer einsatzbereit",uv-schwarzlicht-led-taschenlampe-blacklight,https://www.jugglux.ch/experimente-und-magie/physikspiele-und-co/uv-lampen/uv-schwarzlicht-led-taschenlampe-blacklight.html,https://www.jugglux.ch/media/image/29/87/98/uv-schwarzlicht-led-taschenlampe-blacklight-233330-45381_600x600.jpg
2026-06-11,11. Juni 2026,Roland,5.0,Hat alles super geklappt. Sehr schnelle Lieferung und TOP-Qualität,Gerne wieder,devilstick-grip-der-haftende-orange,https://www.jugglux.ch/jonglieren-und-artistik/flowersticks-devilsticks-buugeng/devilsticks-grip/devilstick-grip-der-haftende-orange.html,https://www.jugglux.ch/media/image/5f/31/d1/devilstick-grip-der-haftende-orange-233404-20214_600x600.jpg
2026-06-11,11. Juni 2026,Christian Helbling,5.0,Super Falträtsel,Gute Rätsel in verschiedenen Schwierigkeitsstufen für die ganze Familie :),foldology-das-origami-raetselspiel,https://www.jugglux.ch/spiele-und-geschenke/brettspiele/lernspiele-und-quiz-spiele/foldology-das-origami-raetselspiel.html,https://www.jugglux.ch/media/image/cb/99/70/Foldology-Das-Origami-R-tselspiel-4007742184919_600x600.jpg
2026-06-10,10. Juni 2026,Beatrix,5.0,Lieferung folgte super schnell. Mega.... Vielen Dank.,,wuerfel-mit-zahlen-1-3-groesse-16mm,https://www.jugglux.ch/spiele-und-geschenke/wuerfel-fuer-spiele/wuerfel-mit-6-flaechen/wuerfel-mit-zahlen-1-3-groesse-16mm.html,https://www.jugglux.ch/media/image/b4/3f/ab/wurfel-mit-zahlen-1-3-grosse-16mm-225481-41964_600x600.jpg
2026-06-06,6. Juni 2026,Angela,5.0,Super schnelle Lieferung und einfache Bestellung und Zahlung. Top!,"Ich war so froh, hatte es noch zwei Plapparagei-Spiele an Lager. Im normalen Handel im Moment nicht mehr erhältlich.",plapparagei-das-lustige-wortspiel,https://www.jugglux.ch/spiele-und-geschenke/kartenspiele/kartenspiele-fuer-kinder/plapparagei-das-lustige-wortspiel.html,https://www.jugglux.ch/media/image/f8/2f/42/plapparagei-das-lustige-wortspiel-246403-45782_600x600.jpg
2026-06-04,4. Juni 2026,,5.0,Meine Kids sind begeistert,,seifenblasen-fluessigkeit-5-liter-fuer-grosse-seifenblasen,https://www.jugglux.ch/kurioses-und-kultiges/seifenblasen-pustefix-und-zauberseife/zauberseife-riesen-seifenblasen/seifenblasen-fluessigkeit-5-liter-fuer-grosse-seifenblasen.html,https://www.jugglux.ch/media/image/67/c7/ea/seifenblasen-flussigkeit-5-liter-fur-grosse-seifenblasen-43113_600x600.jpg
2026-06-01,1. Juni 2026,Niggi,5.0,Die Steine sind sehr gut.,Trotz irrtümlich gewählter Abholung per Post versendet. Super vielen Dank.,original-carambole-steine-standard-aus-kunststoff,https://www.jugglux.ch/spiele-und-geschenke/gesellschaftsspiele/carambole-brett-und-zubehoer/original-carambole-steine-standard-aus-kunststoff.html,https://www.jugglux.ch/media/image/44/c0/36/original-carambole-steine-standard-aus-kunststoff-222767-37453_600x600.jpg
2026-04-30,30. April 2026,Nadja,5.0,"Top Service, tolles Produkt und einfaches Zusammenbauen","Schin das Stöbern auf der Webseite macht Lust, sich was Neues anzueignen. Wenn das Gekaufte dann da ist, wird mit lustigen Tipps und genauen Infos aus einfachem Text und detaillierten Bildern das Zusammenbauen zum Kinderspiel. Das Produkt ist qualitativ hochwertig und alle Ersatzteile kostengünstig. Love it",qu-ax-professional-einrad-20-zoll-chrom,https://www.jugglux.ch/outdoor-und-freizeit/einrad-und-zubehoer/20-zoll-einraeder-qu-ax/qu-ax-professional-einrad-20-zoll-chrom.html,https://www.jugglux.ch/media/image/03/4a/e6/qu-ax-professional-einrad-20-zoll-chrom-239055-45031_600x600.jpg
2026-04-27,27. April 2026,philipp zehnder,5.0,hosensackdrache,alles tip-top,sleddy-rainbow-hosensackdrache-der-kinderdrache,https://www.jugglux.ch/outdoor-und-freizeit/drachen-und-zubehoer/kinderdrachen/sleddy-rainbow-hosensackdrache-der-kinderdrache.html,https://www.jugglux.ch/media/image/89/1e/f6/sleddy-rainbow-hosensackdrache-der-kinderdrache-236508-35971_600x600.jpg
2026-04-27,27. April 2026,Sarah,5.0,tiptop,,clownnase-schaumstoff-rot-4er-set,https://www.jugglux.ch/schminke-und-buehne/clownnasen/clownnase-schaumstoff-rot-4er-set.html,https://www.jugglux.ch/media/image/g0/75/a9/Clownnase-Schaumstoff-rot-4er-Set-4041762196514_600x600.jpg
2026-04-27,27. April 2026,Sarah,5.0,tiptop,,clownnase-schaumstoff-rot,https://www.jugglux.ch/schminke-und-buehne/clownnasen/clownnase-schaumstoff-rot.html,https://www.jugglux.ch/media/image/b9/61/da/Clownnase-rot-aus-Schaumstoff-Durchmesser-ca-5cm_600x600.jpg
2026-04-27,27. April 2026,Sarah,5.0,"sehr schöne Farben, leichte Tücher",,jongliertuch-6er-set-mit-6-verschiedenen-farben,https://www.jugglux.ch/jonglieren-und-artistik/jonglier-ringe-teller-tuecher/jonglier-tuecher/jongliertuch-6er-set-mit-6-verschiedenen-farben.html,https://www.jugglux.ch/media/image/54/8b/ca/jongliertuch-6er-set-mit-6-verschiedenen-farben-235083-39980_600x600.jpg
2026-04-27,27. April 2026,WUNDERTOLLSINNLOS,5.0,Verkaufsschlager,"Seit mehreren Jahren bereits Kunde um personalisierte Tischbomben für meine Kunden herzustellen. Funktionieren immer top. Und Jugglux ist unkompliziert, schnell und Kundennah. Nur zu empfehlen.",tischbombe-leer-klein-max-70g-einfuellen,https://www.jugglux.ch/spiele-und-geschenke/geschenkideen/leere-tischbomben/tischbombe-leer-klein-max-70g-einfuellen.html,https://www.jugglux.ch/media/image/5b/98/b1/tischbombe-leer-klein-max-70g-einfullen-220053-20911_600x600.jpg
2026-04-26,26. April 2026,Pött,4.5,bewertung,Mal was anderes . Nur die Tier Karten find ich unpassend .,schnurrbart-quartett,https://www.jugglux.ch/spiele-und-geschenke/kartenspiele/quartett/schnurrbart-quartett.html,https://www.jugglux.ch/media/image/ae/17/45/schnurrbart-quartett-228962-44682_600x600.jpg
2026-04-26,26. April 2026,Pött,3.5,bewertung,"Schöne Zeichnungen , aber die Helden sind nicht so Quartett tauglich",unnuetze-superhelden-quartett,https://www.jugglux.ch/spiele-und-geschenke/kartenspiele/quartett/unnuetze-superhelden-quartett.html,https://www.jugglux.ch/media/image/9c/g0/12/unnutze-superhelden-quartett-228969-44684_600x600.jpg
2026-04-26,26. April 2026,Pött,4.5,Quartett,Tyrannen Quartette sind immer toll und spannend zu spielen,weltquartett-tyrannen-4,https://www.jugglux.ch/spiele-und-geschenke/kartenspiele/quartett/weltquartett-tyrannen-4.html,https://www.jugglux.ch/media/image/1d/a6/f7/weltquartett-tyrannen-4-224708-40960_600x600.png
2026-04-23,23. April 2026,Renato,5.0,Funktioniert!,"Macht Spass, Preis-Leistung stimmt.",pustekreisel-blow-spinner,https://www.jugglux.ch/experimente-und-magie/physikspiele-und-co/kreisel-und-gyroscope/pustekreisel-blow-spinner.html,https://www.jugglux.ch/media/image/11/db/6c/pustekreisel-blow-spinner-232859-43706_600x600.jpg
2026-04-23,23. April 2026,Renato,3.5,"Toll, aber...",Das Teil macht Spass sieht aber nicht annähernd so aus wie auf den Bildern. Für den Preis habe ich etwas mehr erwartet.,flipoflip-orion-flip-edelstein,https://www.jugglux.ch/outdoor-und-freizeit/fidget-toys/flip-und-fidget-stick/flipoflip-orion-flip-edelstein.html,https://www.jugglux.ch/media/image/b7/01/67/Flipoflip-Fidget-Toy-Flip-Edelstein-Orion_600x600.jpg
2026-04-20,20. April 2026,Esther,1.0,Geplatzt,Sehr toll und super angenehm. Leider nach wenigen Tagen schon geplatzt. Ist wohl nur für sehr sorgfältiges kneten geeignet.,flutschi-ball-uni-quetschball-mit-wasserperlen-7cm,https://www.jugglux.ch/kurioses-und-kultiges/kleinigkeiten-und-verspieltes/beruehren-und-fuehlen/flutschi-ball-uni-quetschball-mit-wasserperlen-7cm.html,https://www.jugglux.ch/media/image/4e/7e/42/Flutschi-Ball-uni-Quetschball-mit-Wasserperlen-4018587753000_600x600.jpg
2026-04-20,20. April 2026,Esther,0.5,Nach 2 Tagen kaputt,Nach 2 Tagen hat sich durch normales kneten die Naht am Verschluss abgelöst und die kleinen Bälle aus dem inneren treten aus. Schade.,dna-ball-knautschball-mit-kugeln-im-innern,https://www.jugglux.ch/kurioses-und-kultiges/kleinigkeiten-und-verspieltes/gag-baelle-und-spezial-baelle/dna-ball-knautschball-mit-kugeln-im-innern.html,https://www.jugglux.ch/media/image/82/75/3b/dna-ball-knautschball-mit-kugeln-im-innern-219922-45223_600x600.jpg
2026-04-18,18. April 2026,Sarah,5.0,Super!,Super mit Etui! Toll zum spielen und magnetisch ‚ mag ich!,pink,https://www.jugglux.ch/kurioses-und-kultiges/kleinigkeiten-und-verspieltes/beruehren-und-fuehlen/fidgnetics-magnetische-sensorik-kugeln-set-mit-6-stueck-gruen/pink.html,https://www.jugglux.ch/media/image/7e/02/f2/FidgNetics-magnetische-Sensorik-Kugeln-Set-mit-6-St-ck-4260612176517_600x600.jpg
2026-04-18,18. April 2026,Sarah,5.0,Schön stachelig,"Super stachelig was ich sehr mag, sensorisch super!",magnetischer-igelball-3-2cm-gold-massageball-und-skilltoy,https://www.jugglux.ch/kurioses-und-kultiges/kleinigkeiten-und-verspieltes/beruehren-und-fuehlen/magnetischer-igelball-3-2cm-gold-massageball-und-skilltoy.html,https://www.jugglux.ch/media/image/27/58/b1/Magnetischer-Igelball-gold-Massageball-und-Skilltoy_600x600.jpg
2026-04-18,18. April 2026,Sarah,5.0,Super,"Hat mir sehr gut gefallen, perfekt für lange Autofahrten und zum spielen mit der Knete.",intellimass-anti-stress-knete-orange,https://www.jugglux.ch/kurioses-und-kultiges/kleinigkeiten-und-verspieltes/intelligente-knete/intellimass-anti-stress-knete-orange.html,https://www.jugglux.ch/media/image/ec/3c/86/IntelliMass-Anti-Stress-Knete-orange-8594164763120_600x600.jpg
2026-04-18,18. April 2026,Sarah,2.0,Für mich unangenehm,"Leider sind es „richtige“ Steine, die aneinander knirschen, was ich persönlich überhaupt nicht mag. Wie schon bei einer anderen Bewertung erwähnt, ist es nicht prall gefüllt und man kann nicht so richtig drücken.",squeezy-ball-sensorik-ball-mit-perlen-im-innern,https://www.jugglux.ch/kurioses-und-kultiges/kleinigkeiten-und-verspieltes/beruehren-und-fuehlen/squeezy-ball-sensorik-ball-mit-perlen-im-innern.html,https://www.jugglux.ch/media/image/e0/7f/d6/Squeezy-Ball-Sensorik-Ball-mit-Perlen-im-Innern-8711866246366_5_600x600.jpg
2026-04-16,16. April 2026,Marc Richard,5.0,Schöne farben in passender Grösse,"Der Artikel sieht sehr schön aus.
Das Kugellager ist super.
Leider Unwucht, es braucht dann also ziemlich Wind, bis die Blume dreht. Auch beim Drehen ist dann die Unwucht ein Nachteil.",metall-windspiel-einzelne-blume-multi-color,https://www.jugglux.ch/outdoor-und-freizeit/windspiele/windspiele-aus-metall/metall-windspiel-einzelne-blume-multi-color.html,https://www.jugglux.ch/media/image/f7/91/a1/Metall-Windspiel-Einzelne-Blume-multi-color-4031169353009_3_600x600.jpg
2026-04-15,15. April 2026,Simon Jöhr,4.0,Edles Yoyo aus Holz,"Preis Leistung top, passt",edles-yoyo-aus-holz,https://www.jugglux.ch/outdoor-und-freizeit/yoyo-shop/yoyos-aus-holz/edles-yoyo-aus-holz.html,https://www.jugglux.ch/media/image/c3/2b/d9/Edles-Yoyo-aus-Holz-9120008643786_600x600.jpg
2026-04-15,15. April 2026,Simon Jöhr,1.5,Freilauf Yoyo mit LED,sehr bastlerisch...,freilauf-yoyo-mit-led,https://www.jugglux.ch/outdoor-und-freizeit/yoyo-shop/freilauf-yoyos/freilauf-yoyo-mit-led.html,https://www.jugglux.ch/media/image/8e/13/6c/freilauf-yoyo-mit-led-264707-46848_600x600.jpg
